22:50:49.919 DEBUG [DefaultLocalSearchPhase]     LS step (205), time spent (83144), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1109), picked move ([162] Beervelde in Kringdans  &  {Kringdans meisjes & gemengd om 10:48 [2617] -> Kringdans meisjes & gemengd om 10:42 [2611]}).
22:50:50.003 DEBUG [DefaultLocalSearchPhase]     LS step (206), time spent (83228), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1151), picked move ([187] Lochristi Hijfte Meisjes in Piramide  &  {Piramide meisjes & jongens om 11:48 [2770] -> Piramide meisjes & jongens om 08:12 [2554]}).
22:50:50.086 DEBUG [DefaultLocalSearchPhase]     LS step (207), time spent (83311), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1123), picked move ([25] Opwijk in Basiswimpelen basis {Basiswimpelen basis B om 11:48 [2212] -> Basiswimpelen basis B om 11:24 [2188]}).
22:50:50.174 DEBUG [DefaultLocalSearchPhase]     LS step (208), time spent (83399), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1122), picked move ([112] Stekene 2 in Gilden muziekreeks {Gilden muziekreeks A om 08:27 [2290] -> Gilden muziekreeks A om 08:36 [2299]}).
22:50:50.257 DEBUG [DefaultLocalSearchPhase]     LS step (209), time spent (83482), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1110), picked move ([98] Opwijk in Brechts korpsvendelen {Brechts korpsvendelen C om 11:00 [2412] -> Brechts korpsvendelen C om 12:00 [2472]}).
22:50:50.343 DEBUG [DefaultLocalSearchPhase]     LS step (210), time spent (83568), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1128), picked move ([[92] Wetteren 2 in Brechts korpsvendelen] {Brechts korpsvendelen A om 10:00 [2290]} <-> [[91] Wetteren 1 in Brechts korpsvendelen] {Brechts korpsvendelen A om 09:45 [2275]}).
22:50:50.443 DEBUG [DefaultLocalSearchPhase]     LS step (211), time spent (83668), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1130), picked move ([114] Melsele 2 in Gilden muziekreeks {Gilden muziekreeks A om 10:33 [2416] -> Gilden muziekreeks A om 10:51 [2434]}).
22:50:50.532 DEBUG [DefaultLocalSearchPhase]     LS step (212), time spent (83757), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1134), picked move ([198] Kruibeke in Vrije ritmiek  &  {Vrije ritmiek meisjes & gemengd om 11:36 [2789] -> Vrije ritmiek meisjes & gemengd om 11:42 [2795]}).
22:50:50.626 DEBUG [DefaultLocalSearchPhase]     LS step (213), time spent (83851), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1108), picked move ([193] Stekene in Bondsreeks & vrije ritmiek  {Bondsreeks & vrije ritmiek jongens om 08:12 [2120] -> Bondsreeks & vrije ritmiek jongens om 08:18 [2126]}).
22:50:50.717 DEBUG [DefaultLocalSearchPhase]     LS step (214), time spent (83942), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1130), picked move ([200] Hamme in Vrije ritmiek  &  {Vrije ritmiek meisjes & gemengd om 09:42 [2675] -> Vrije ritmiek meisjes & gemengd om 10:12 [2705]}).
